Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kanton;E;N;Sprache;Validity;Bezirks-nummer;Bezirksname;Einwohner;Einwohnerdichte;Fahrraddiebstahl_pro1000Einwohner
Aeugst am Albis;8914;0;Aeugst am Albis;1;ZH;8.487911354;47.26870659;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.493639301;47.28270771;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.433816382;47.28957191;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.45439239;47.27879102;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Bonstetten;8906;0;Bonstetten;3;ZH;8.462510333;47.31603645;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Sihlbrugg;6340;4;Hausen am Albis;4;ZH;8.575263285;47.221161;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Langnau am Albis;8135;0;Hausen am Albis;4;ZH;8.522602733;47.26616249;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.533080372;47.24868312;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.553387817;47.22790944;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Hedingen;8908;0;Hedingen;5;ZH;8.450402732;47.3023383;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.518401273;47.22850465;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.494435214;47.23254735;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499050492;47.21811361;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Knonau;8934;0;Knonau;7;ZH;8.463070514;47.22429179;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Maschwanden;8933;0;Maschwanden;8;ZH;8.430865808;47.23566581;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.466212301;47.24873641;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Affoltern am Albis;8910;0;Obfelden;10;ZH;8.438566231;47.27137607;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Obfelden;8912;0;Obfelden;10;ZH;8.422386634;47.26039752;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Ottenbach;8913;0;Ottenbach;11;ZH;8.40857484;47.28107503;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Rifferswil;8911;0;Rifferswil;12;ZH;8.49488718;47.24550057;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Adliswil;8134;0;Stallikon;13;ZH;8.505877599;47.31210529;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Stallikon;8143;0;Stallikon;13;ZH;8.489620691;47.32971316;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Uetliberg;8143;2;Stallikon;13;ZH;8.49173569;47.34851184;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Wettswil;8907;0;Wettswil am Albis;14;ZH;8.470612515;47.3374022;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Benken ZH;8463;0;Benken (ZH);22;ZH;8.654666544;47.65377796;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Berg am Irchel;8415;0;Berg am Irchel;23;ZH;8.585741053;47.56297525;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Graeslikon;8415;1;Berg am Irchel;23;ZH;8.605113275;47.55600242;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Buch am Irchel;8414;0;Buch am Irchel;24;ZH;8.625154489;47.55047881;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Dachsen;8447;0;Dachsen;25;ZH;8.624375293;47.66174994;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Dorf;8458;0;Dorf;26;ZH;8.649329748;47.57127196;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Feuerthalen;8245;0;Feuerthalen;27;ZH;8.64416602;47.68902348;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Langwiesen;8246;0;Feuerthalen;27;ZH;8.662656729;47.68335284;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Flaach;8416;0;Flaach;28;ZH;8.601940328;47.583402;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Flurlingen;8247;0;Flurlingen;29;ZH;8.635510083;47.68360383;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Henggart;8444;0;Henggart;31;ZH;8.680830542;47.56038766;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Kleinandelfingen;8451;0;Kleinandelfingen;33;ZH;8.684949095;47.60679239;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Alten;8453;0;Kleinandelfingen;33;ZH;8.640865573;47.59690262;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Oerlingen;8461;0;Kleinandelfingen;33;ZH;8.677585177;47.62323023;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
